French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
corps,body
endroit,place
yeux,eyes
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
matin,morning
enfant,child
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
mis,placed
droit,law
aimerais,would like to
mari,husband
cause,cause
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
